id,cultivo,topografia
3,Café,Pendiente
5,Café,Ondulado
6,Café,Pendiente
7,Café,Pendiente
9,Café,Ondulado
23,Caña Panelera,Ondulado
45,Pastos,Plano
47,Pastos,Plano
48,Cacao,Ondulado
52,Pastos,Plano
61,Cacao,Ondulado
67,Café,Ondulado
71,Café,Pendiente
76,Caña Panelera,Ondulado
77,Caña Panelera,Ondulado
78,Caña Panelera,Ondulado
100,Pastos,Plano
111,Cacao,Plano
112,Cacao,Plano
113,Cacao,Plano
116,Pastos,Plano
117,Pastos,Plano
118,Pastos,Plano
119,Cacao,Plano
122,Arroz,Plano
123,Arroz,Plano
124,Caucho,Ondulado
125,Caucho,Plano
126,Caucho,Plano
127,Caucho,Plano
128,Caucho,Plano
129,Caucho,Ondulado
130,Caucho,Ondulado
131,Caucho,Plano
132,Caucho,Pendiente
133,Caucho,Plano
136,Caña Panelera,Ondulado
137,Caña Panelera,Ondulado
138,Caña Panelera,Ondulado
139,Caña Panelera,Ondulado
140,Caucho,Plano
142,Caucho,Ondulado
143,Caucho,Plano
152,Caucho,Pendiente
157,Caucho,Plano
158,Caucho,Ondulado
159,Caucho,Ondulado
160,Caucho,Plano
161,Caucho,Plano
168,Cacao,Plano
171,Pastos,Ondulado
172,Pastos,Ondulado
173,Maíz,Ondulado
176,Pastos,Ondulado
180,Aguacate,Pendiente
193,Aguacate,Pendiente
197,Cacao,Plano
198,Cacao,Plano
199,Cacao,Plano
200,Cacao,Plano
201,Cacao,Plano
202,Cacao,Plano
203,Cacao,Plano
204,Aguacate,Pendiente
205,Aguacate,Pendiente
206,Aguacate,Plano
207,Aguacate,Pendiente
215,Maíz,Plano
217,Maíz,Plano
227,Aguacate,Pendiente
229,Pasto Kikuyo,Ondulado
232,Aguacate,Pendiente
233,Aguacate,Pendiente
234,Maíz,Plano
235,Aguacate,Pendiente
236,Aguacate,Pendiente
237,Cacao,Pendiente
242,Aguacate,Pendiente
254,Cacao,Plano
255,Cacao,Plano
256,Cacao,Plano
257,Cacao,Plano
258,Caña Panelera,Plano
259,Cacao,Plano
264,Cacao,Plano
266,Cacao,Plano
267,Cacao,Plano
269,Cacao,Plano
271,Cacao,Plano
272,Café,Pendiente
274,Cacao,Plano
277,Cacao,Plano
278,Cacao,Plano
279,Cacao,Plano
282,Cacao,Plano
287,Cacao,Plano
306,Maíz,Plano
314,Café,Pendiente
317,Aguacate,Pendiente
318,Cacao,Plano
320,Cacao,Plano
321,Cacao,Plano
322,Cacao,Plano
323,Cacao,Plano
324,Cacao,Plano
329,Cacao,Plano
330,Arroz,Ondulado
341,Cacao,Plano
344,Café,Ondulado
346,Café,Pendiente
347,Café,Pendiente
354,Aguacate,Ondulado
355,Aguacate,Ondulado
356,Aguacate,Ondulado
357,Aguacate,Pendiente
358,Aguacate,Ondulado
359,Aguacate,Ondulado
360,Aguacate,Ondulado
361,Aguacate,Ondulado
362,Café,Ondulado
363,Aguacate,Ondulado
364,Aguacate,Ondulado
365,Aguacate,Pendiente
366,Aguacate,Ondulado
367,Pastos,Plano
368,Pastos,Ondulado
369,Maíz,Plano
372,Aguacate,Ondulado
375,Cacao,Plano
376,Cacao,Plano
377,Plátano,Plano
378,Plátano,Plano
379,Plátano,Plano
380,Plátano,Plano
