cultivo,Fuertemente ondulado,Ligeramente ondulado,Moderadamente ondulado,Ondulado,Ondulado y pendiente,Pendiente,Pendiente fuerte,Pendiente leve,Pendiente moderada,Plano,Plano y ondulado,Plano y pendiente
Aguacate,0,0.120365,0.122415,0.108903,0.153929,0.182894,0.109677,0.138225,0.1639,0.033057,0.05618,0.027076
Arroz,0,0.02567,0.014176,0.00532,0.011841,1.69e-4,0,0.03157,0.014967,0.139311,0.313358,0.032491
Cacao,0.166667,0.299487,0.276851,0.108747,0.158235,0.195064,0.212903,0.251706,0.291049,0.221315,0.118602,0.045126
Café,0.305556,0.095265,0.099233,0.112345,0.228202,0.131339,0.421505,0.217577,0.182573,0.016273,0.028714,0.037906
Caña Panelera,0.083333,0.031945,0.025017,0.23627,0.009688,0.238675,0.008602,0.023038,0.033491,0.043906,0.024969,0.005415
Caucho,0,0.011979,0.033189,0.015178,0.001076,0.002705,0.019355,0.074232,0.013337,0.052521,0.034956,0.045126
Maíz,0,0.020536,0.067545,0.01596,0.029064,0.005071,0.045161,0.049488,0.016598,0.089215,0.057428,0.090253
Pasto Kikuyo,0.055556,0.021677,0.023516,0.080739,0.082885,0.034483,0.008602,0.009386,0.010522,0.023803,0.036205,0.00722
Pastos,0.333333,0.355961,0.293029,0.28681,0.200215,0.185598,0.113978,0.136519,0.213397,0.304722,0.280899,0.693141
Plátano,0.055556,0.017114,0.04503,0.029729,0.124865,0.024003,0.060215,0.068259,0.060166,0.075877,0.048689,0.016245
