cultivo,Fuertemente ondulado,Ligeramente ondulado,Moderadamente ondulado,Ondulado,Ondulado y pendiente,Pendiente,Pendiente fuerte,Pendiente leve,Pendiente moderada,Plano,Plano y ondulado,Plano y pendiente
Aguacate,0,211,734,696,143,1082,51,162,1106,518,45,15
Arroz,0,45,85,34,11,1,0,37,101,2183,251,18
Cacao,6,525,1660,695,147,1154,99,295,1964,3468,95,25
Café,11,167,595,718,212,777,196,255,1232,255,23,21
Caña Panelera,3,56,150,1510,9,1412,4,27,226,688,20,3
Caucho,0,21,199,97,1,16,9,87,90,823,28,25
Maíz,0,36,405,102,27,30,21,58,112,1398,46,50
Pasto Kikuyo,2,38,141,516,77,204,4,11,71,373,29,4
Pastos,12,624,1757,1833,186,1098,53,160,1440,4775,225,384
Plátano,2,30,270,190,116,142,28,80,406,1189,39,9
