cultivo,topografia,frecuencia_observada,frecuencia_esperada,residual_pearson,residual_estandarizado,contribucion_chi2,contribucion_pct,asociacion
Arroz,Plano,2183,933.497447825806,40.89597626303929,51.81096249577398,1672.4808745070727,9.977907899529134,Sobre-representación
Caña Panelera,Ondulado,1510,565.4461028192371,39.72200270603639,44.80267216234177,1577.8374989783624,9.413271915512667,Sobre-representación
Caña Panelera,Pendiente,1412,523.4203010919429,38.83927418486973,43.549482521459986,1508.4892192074888,8.999544763775583,Sobre-representación
Café,Plano,255,1505.8805539402554,-32.23447331023971,-41.654706647592946,1039.0612695885563,6.1989693322968895,Sub-representación
Aguacate,Plano,518,1607.465055674011,-27.17330945101434,-35.241064577594834,738.3887465205853,4.405177374002913,Sub-representación
Arroz,Plano y ondulado,251,47.71738709052142,29.428078580196736,30.611032448573923,866.0118089222341,5.166567941697639,Sobre-representación
Maíz,Plano,1398,771.1647390751868,22.572509099322012,28.440810571117954,509.518167038975,3.039750959992394,Sobre-representación
Café,Pendiente moderada,1232,648.4800241218152,22.91434390074462,26.070472650212476,525.0671564015922,3.132515179993821,Sobre-representación
Caña Panelera,Plano,688,1386.4090801404234,-18.757034621709835,-24.137026669196043,351.8263478000214,2.0989722205409125,Sub-representación
Pasto Kikuyo,Ondulado,516,202.33830845771143,22.050702133774664,24.130451313890422,486.23346459245454,2.9008359983801744,Sobre-representación
Café,Pendiente fuerte,196,44.68630871615946,22.635546546404964,23.928548515046863,512.3679674544658,3.0567526767302238,Sobre-representación
Cacao,Ondulado,695,1394.7578772802653,-18.736927857722417,-22.8201260723022,351.0724655454944,2.094474609944931,Sub-representación
Pastos,Plano y pendiente,384,149.70683379638604,19.148678550707253,22.550283395494972,366.671890238316,2.187539723718796,Sobre-representación
Aguacate,Pendiente,1082,606.8770433546553,19.286599408920214,21.794878286123897,371.9729167601616,2.219165289795016,Sobre-representación
Arroz,Pendiente,1,352.4295406086451,-18.71983915676735,-20.665004126911512,350.4323780552401,2.0906558912242876,Sub-representación
Caucho,Plano,823,471.1360944196765,16.21069109840611,20.22247276145997,262.786505887943,1.5677665394898823,Sobre-representación
Arroz,Ondulado,34,380.72636815920396,-17.76971214023929,-19.732161584185267,315.7626695469676,1.8838187526525114,Sub-representación
Caña Panelera,Moderadamente ondulado,150,530.4983308565398,-16.520026706971397,-18.541797617457746,272.9112823990482,1.6281702720951345,Sub-representación
Aguacate,Pendiente moderada,1106,692.2255389718076,15.726782210898886,17.95743626324793,247.33167870904566,1.4755640847146512,Sobre-representación
Caña Panelera,Pendiente moderada,226,597.031810643751,-15.18491656385289,-17.204021497536186,230.5816910511738,1.3756347900267505,Sub-representación
Maíz,Pendiente,30,291.142986366867,-15.304713357061392,-16.802721776498217,234.2342509418134,1.3974257155565013,Sub-representación
Arroz,Pendiente moderada,101,401.99366802351875,-15.012317929503217,-16.745063926286488,225.36968961648373,1.3445403416057016,Sub-representación
Arroz,Moderadamente ondulado,85,357.19532209084446,-14.402164792239848,-15.914403210394848,207.42235070283309,1.237467730222435,Sub-representación
Pastos,Pendiente,1098,1598.6744201072559,-12.522048757520336,-15.691995309263275,156.8017050857166,0.935468378552028,Sub-representación
Cacao,Pendiente moderada,1964,1472.6687773254937,12.803297104276037,15.663408130843155,163.92441674036314,0.9779619950520746,Sobre-representación
Plátano,Plano,1189,844.0625874954234,11.872795181079994,14.996164184914576,140.96326541187634,0.840977317549968,Sobre-representación
Café,Pendiente leve,255,112.62871788244922,13.415220825662338,14.291870605425334,179.9681498012845,1.073677822531229,Sobre-representación
Café,Ondulado y pendiente,212,89.27651784368203,12.988501478570148,13.800268358367166,168.7011706588189,1.006459786197886,Sobre-representación
Maíz,Pendiente moderada,112,332.08804462535807,-12.077299363980732,-13.397690494807517,145.8611599272094,0.8701978253121304,Sub-representación
Maíz,Ondulado,102,314.5190713101161,-11.983244405123001,-13.233957650025465,143.5981464729117,0.8566968399397072,Sub-representación
Caucho,Pendiente,16,177.87116366220843,-12.137149897471112,-13.19294487482372,147.31040763368298,0.8788439392134684,Sub-representación
Pastos,Plano,4775,4234.487519114385,8.306255733299968,11.94581470453975,68.9938843069786,0.41161285234349604,Sobre-representación
Cacao,Moderadamente ondulado,1660,1308.5539402554327,9.715448719587194,11.774726526964072,94.38994382292843,0.563124027582371,Sobre-representación
Pastos,Pendiente moderada,1440,1823.5048997437057,-8.980850142485277,-11.371713302019185,80.6556692817778,0.4811862735982854,Sub-representación
Plátano,Pendiente,142,318.66459908250954,-9.896522634911268,-10.8918621547301,97.94116026331105,0.5843103449349534,Sub-representación
Pasto Kikuyo,Pendiente moderada,71,213.64088647670738,-9.758921925685048,-10.727280858090735,95.23655715161635,0.5681748655016097,Sub-representación
Pastos,Pendiente leve,160,316.708319872499,-8.805668222883716,-10.440481833075317,77.53979285150406,0.4625971653331472,Sub-representación
Cacao,Plano y pendiente,25,120.90374965001831,-8.721992372441402,-9.923957286456444,76.07315094492601,0.45384727880919,Sub-representación
Café,Pendiente,777,568.5251663759126,8.743368626562125,9.844974462907896,76.44649493995087,0.45607462385927805,Sobre-representación
Plátano,Ondulado y pendiente,116,50.040468652408954,9.32431371906328,9.683426705018523,86.94282633151168,0.5186950277779762,Sobre-representación
Plátano,Ondulado,190,344.25041459369817,-8.313599597271223,-9.203849431340547,69.11593826374822,0.4123410180032554,Sub-representación
Pasto Kikuyo,Ondulado y pendiente,77,29.412030755314337,8.774748274977567,9.007608037539175,76.99620728922177,0.45935417059482775,Sobre-representación
Caucho,Pendiente leve,87,35.237492192716076,8.719926266961245,8.967952297309594,76.03711410124066,0.4536322854345195,Sobre-representación
Caucho,Pendiente moderada,90,202.88617518468266,-7.9252784721786345,-8.704528194415236,62.81003886157811,0.37472044821521916,Sub-representación
Caña Panelera,Ondulado y pendiente,9,82.19362064138184,-8.073357330254886,-8.541983870410808,65.1790985819803,0.3888540984464209,Sub-representación
Caña Panelera,Ligeramente ondulado,56,155.0973272167302,-7.957191028495439,-8.496356710647227,63.316889063968304,0.3777442822783726,Sub-representación
Cacao,Ligeramente ondulado,525,382.5708901380543,7.28186795397169,8.3958104803406,53.02560089907985,0.3163471523966718,Sobre-representación
Pastos,Ligeramente ondulado,624,473.7113350993948,6.905089912712766,8.240113179982648,47.68026670264759,0.2844572497274267,Sobre-representación
Caña Panelera,Pendiente leve,27,103.69313605134501,-7.531500203724563,-7.990037733499087,56.72349531870313,0.3384085406634037,Sub-representación
Pastos,Pendiente fuerte,53,125.65645796989081,-6.481593871971221,-7.625602440392621,42.01105912117489,0.2506351403248789,Sub-representación
Caucho,Ondulado,97,192.1525704809287,-6.8643184903608505,-7.505564216276923,47.11886833710986,0.28110798500837114,Sub-representación
Maíz,Moderadamente ondulado,405,295.0800111994142,6.398921462002202,7.0321870479535455,40.946195876872395,0.24428223815469677,Sobre-representación
Plátano,Ligeramente ondulado,30,94.4251254549762,-6.629968845918444,-6.948515993170727,43.95648689784914,0.2622414310016332,Sub-representación
Caña Panelera,Plano y pendiente,3,49.01535611983373,-6.572592490470529,-6.925625698969107,43.1989720457896,0.2577221485742015,Sub-representación
Pasto Kikuyo,Plano,373,496.11035730438715,-5.527203374412023,-6.900733827119725,30.54997714211165,0.18225909958255923,Sub-representación
Cacao,Plano y ondulado,95,174.80849001744525,-6.036258546244446,-6.88667024403862,36.43641723710911,0.21737720348392123,Sub-representación
Café,Plano y ondulado,23,76.97577049815855,-6.1520779306393045,-6.527401402405126,37.84806286465919,0.22579898592290967,Sub-representación
Caña Panelera,Plano y ondulado,20,70.86877301802674,-6.042599431533378,-6.384374969198922,36.51300788996749,0.2178341381441821,Sub-representación
Arroz,Ondulado y pendiente,11,55.34263746204045,-5.960622183721426,-6.208942769652112,35.529016817071984,0.21196371388464974,Sub-representación
Arroz,Ligeramente ondulado,45,104.4301867286942,-5.815593835524319,-6.113480210191466,33.821131659788456,0.2017745864260949,Sub-representación
