cultivo,topografia,frecuencia_observada,frecuencia_esperada,residual_pearson,residual_estandarizado,contribucion_chi2,contribucion_pct,asociacion
Arroz,Plano,2183,933.497447825806,40.89597626303929,51.81096249577398,1672.4808745070727,9.977907899529134,Sobre-representación
Caña Panelera,Ondulado,1510,565.4461028192371,39.72200270603639,44.80267216234177,1577.8374989783624,9.413271915512667,Sobre-representación
Caña Panelera,Pendiente,1412,523.4203010919429,38.83927418486973,43.549482521459986,1508.4892192074888,8.999544763775583,Sobre-representación
Café,Plano,255,1505.8805539402554,-32.23447331023971,-41.654706647592946,1039.0612695885563,6.1989693322968895,Sub-representación
Aguacate,Plano,518,1607.465055674011,-27.17330945101434,-35.241064577594834,738.3887465205853,4.405177374002913,Sub-representación
Arroz,Plano y ondulado,251,47.71738709052142,29.428078580196736,30.611032448573923,866.0118089222341,5.166567941697639,Sobre-representación
Maíz,Plano,1398,771.1647390751868,22.572509099322012,28.440810571117954,509.518167038975,3.039750959992394,Sobre-representación
Café,Pendiente moderada,1232,648.4800241218152,22.91434390074462,26.070472650212476,525.0671564015922,3.132515179993821,Sobre-representación
Caña Panelera,Plano,688,1386.4090801404234,-18.757034621709835,-24.137026669196043,351.8263478000214,2.0989722205409125,Sub-representación
Pasto Kikuyo,Ondulado,516,202.33830845771143,22.050702133774664,24.130451313890422,486.23346459245454,2.9008359983801744,Sobre-representación
Café,Pendiente fuerte,196,44.68630871615946,22.635546546404964,23.928548515046863,512.3679674544658,3.0567526767302238,Sobre-representación
Cacao,Ondulado,695,1394.7578772802653,-18.736927857722417,-22.8201260723022,351.0724655454944,2.094474609944931,Sub-representación
Pastos,Plano y pendiente,384,149.70683379638604,19.148678550707253,22.550283395494972,366.671890238316,2.187539723718796,Sobre-representación
Aguacate,Pendiente,1082,606.8770433546553,19.286599408920214,21.794878286123897,371.9729167601616,2.219165289795016,Sobre-representación
Arroz,Pendiente,1,352.4295406086451,-18.71983915676735,-20.665004126911512,350.4323780552401,2.0906558912242876,Sub-representación
Caucho,Plano,823,471.1360944196765,16.21069109840611,20.22247276145997,262.786505887943,1.5677665394898823,Sobre-representación
Arroz,Ondulado,34,380.72636815920396,-17.76971214023929,-19.732161584185267,315.7626695469676,1.8838187526525114,Sub-representación
Caña Panelera,Moderadamente ondulado,150,530.4983308565398,-16.520026706971397,-18.541797617457746,272.9112823990482,1.6281702720951345,Sub-representación
Aguacate,Pendiente moderada,1106,692.2255389718076,15.726782210898886,17.95743626324793,247.33167870904566,1.4755640847146512,Sobre-representación
Caña Panelera,Pendiente moderada,226,597.031810643751,-15.18491656385289,-17.204021497536186,230.5816910511738,1.3756347900267505,Sub-representación
