categoria,masa,Dim1_coord,Dim2_coord,Dim3_coord,Dim4_coord,Dim5_coord,Dim1_contrib,Dim2_contrib,Dim3_contrib,Dim4_contrib,Dim5_contrib,Dim1_cos2,Dim2_cos2,Dim3_cos2,Dim4_cos2,Dim5_cos2
Fuertemente ondulado,7.753440589261484e-4,0.39134743000951194,0.2014600446039977,-0.03568212198138672,0.5711280738251383,0.12226263270448835,0.055819951523003876,0.03459298198910228,0.004192482615298515,1.6034979876048148,0.13693027799121538,0.20605322117213762,0.054604984400940484,0.0017129937678296047,0.4388554062038225,0.020111382336558948
Ligeramente ondulado,0.037754948202709394,0.05369161955823714,0.21816321934984131,-0.237183280257559,-0.11777591218607826,0.19398062449827083,0.05116310657364018,1.9753890039174857,9.020227287348318,3.320425731873218,16.78448904265797,0.016783528743889643,0.27709796450573104,0.327520441197048,0.08075756606022996,0.2190720511373095
Moderadamente ondulado,0.12913786048114406,-0.012436752514405985,0.2560872169236552,-0.19030909209963437,-0.04549535163620891,-0.055479339637732876,0.009389394584120242,9.309901226966307,19.863149965927665,1.6947068226156468,4.696060602556311,0.0013759869533579595,0.5834130408413635,0.3221954525785297,0.018413416803851605,0.027381856993747254
Ondulado,0.13764510779436154,0.4989158786057284,-0.44567140763242824,-0.06375309586774157,0.1366642337564391,-0.010070215716564265,16.105916815852908,30.05425804984044,2.375958213057853,16.29961928314607,0.164913370387883,0.5272389848793305,0.42070958630802124,0.00860905378589217,0.039560575829069404,2.1479808765888323e-4
Ondulado y pendiente,0.020008184187288666,0.2926772223470796,0.3679187855415162,0.13951932759883603,0.4752081763205899,0.009721899717498891,0.8056669443136448,2.9773321594727333,1.6540623856727392,28.64721611236124,0.022342280009622968,0.15214709250608963,0.2404305966172989,0.03457439244011226,0.40110088193722526,1.6787579487484387e-4
Pendiente,0.1274148736835304,0.6434134241622773,-0.21122143187823889,0.10210462894705931,-0.16791189108334378,-0.0028472794948810167,24.795357983382033,6.249018041977875,5.64139423927435,22.776656520440643,0.012203878319141968,0.8274930963499212,0.08917848876852985,0.02083891035930567,0.05635689393883154,1.6204824974286935e-5
Pendiente fuerte,0.010014860761129419,0.47880657151664197,0.769069192786208,0.32459647103082323,0.4970992997201532,-0.06326108717005846,1.0792825107275847,6.511655723335796,4.481340703152304,15.69054963706119,0.4735171987400857,0.1702978170567857,0.4393591809493155,0.07826659931848827,0.18355878693911284,0.0029727759488012095
Pendiente leve,0.025241756585040166,0.11040758701407612,0.4679718918972657,0.2004938187593595,0.11347932450091679,-0.2073944832474766,0.14463967269151937,6.076797959183658,4.309203559393764,2.0609146057949546,12.827189591843776,0.03181125044056599,0.5715081671835059,0.10490226845204768,0.033605966327191386,0.11224766195689265
Pendiente moderada,0.1453339363787125,0.2510096165246061,0.4368609587209028,0.058918450595271926,-0.03333852097108921,0.05911068068370602,4.3044510786597465,30.490826125720723,2.142619886477271,1.024157225339127,5.999519887760976,0.23861289549139936,0.7227692367616867,0.013146671926944613,0.004209260928618392,0.013232597763043042
Plano,0.3374900389825763,-0.5407232499252717,-0.10960099979872615,0.03042523708053596,-0.013996883374009296,-0.037308045696427136,46.38537434047671,4.4566207359705015,1.326796634112323,0.4192089883959581,5.549878800612513,0.9514815139896807,0.03909122672704124,0.003012438640343568,6.375480994778834e-4,0.004529552185895257
Plano y ondulado,0.017251405311106804,-0.8132598195716859,-0.2961466448785294,0.5026944137928159,0.08058164959377227,0.45805282272009645,5.363559831622754,1.6632356994701585,18.51433241258743,0.7102377058772112,42.763490460316554,0.5315733155246518,0.07048848453771184,0.20310127900567018,0.005218874427045208,0.16863032135369463
Plano y pendiente,0.011931683573474619,-0.40043805740267585,-0.12359762527419661,-0.777938179276867,0.2757627864604842,0.27382106850979254,0.899378369592341,0.20037229215546792,30.66672223038077,5.752809379490069,10.569464608804052,0.15025496640110814,0.01431457298273969,0.5670852041056413,0.07125731624271996,0.07025736630979111
