categoria,masa,Dim1_coord,Dim2_coord,contrib_total_dim12,cos2_total_dim12,interpretacion
Plano,0.3374900389825763,-0.5407232499252717,-0.10960099979872616,50.84199507644721,0.990572740716722,Cuadrante III
Ondulado,0.13764510779436154,0.4989158786057284,-0.44567140763242824,46.16017486569335,0.947948571187352,Cuadrante IV
Pendiente moderada,0.1453339363787125,0.2510096165246061,0.4368609587209028,34.79527720438047,0.961382132253086,Cuadrante I
Pendiente,0.1274148736835304,0.6434134241622773,-0.21122143187823889,31.04437602535991,0.916671585118451,Cuadrante IV
Moderadamente ondulado,0.12913786048114406,-0.01243675251440598,0.2560872169236552,9.31929062155043,0.5847890277947214,Cuadrante II
Pendiente fuerte,0.01001486076112941,0.478806571516642,0.769069192786208,7.590938234063381,0.6096569980061012,Cuadrante I
Plano y ondulado,0.0172514053111068,-0.8132598195716859,-0.2961466448785294,7.026795531092913,0.6020618000623637,Cuadrante III
Pendiente leve,0.02524175658504016,0.11040758701407612,0.4679718918972657,6.221437631875177,0.6033194176240719,Cuadrante I
Ondulado y pendiente,0.02000818418728866,0.2926772223470796,0.3679187855415162,3.782999103786378,0.3925776891233886,Cuadrante I
Ligeramente ondulado,0.03775494820270939,0.05369161955823714,0.21816321934984131,2.0265521104911257,0.2938814932496207,Cuadrante I
