categoria,masa,Dim1_coord,Dim2_coord,contrib_total_dim12,cos2_total_dim12,interpretacion
Caña Panelera,0.08847537205746162,0.7066749677736818,-0.7134117172658921,70.27129976544066,0.9769266536769864,Cuadrante IV
Arroz,0.05957226852749241,-1.0504471856081816,-0.28062550786239193,36.05749492627477,0.8699134885577234,Cuadrante III
Café,0.09609958863690209,0.5793587747991659,0.4130242628681758,33.1844479817903,0.8709408344219466,Cuadrante I
Aguacate,0.10258232646292348,0.493756031837956,0.19082594460903404,15.862628740590946,0.9027025969403042,Cuadrante I
Cacao,0.21823781525274064,-0.05293193347512372,0.2297981201217533,12.95632429200994,0.6939476543903857,Cuadrante II
Maíz,0.04921281040684026,-0.6583151361357772,-0.01610001020592416,10.039750005579664,0.8744693197264907,Cuadrante III
Pasto Kikuyo,0.03165988240615106,0.30439019945645784,-0.4751121557211158,9.23521067970266,0.6270581247186385,Cuadrante IV
Caucho,0.03006611961835842,-0.5958581301132886,-0.01265894220851238,5.023325165470332,0.7620303994552541,Cuadrante III
Pastos,0.27022894187073293,-0.14211848022462367,-0.0752141534981112,4.246214584792077,0.3702736624612855,Cuadrante III
Plátano,0.05386487476039715,-0.29036720880884753,0.12920038484036983,3.1233038583486294,0.5347556174494236,Cuadrante II
